Title,Matthew,Mark,Luke,John
The Beatitudes,5:3-12,,6:20-23,
The Lord's Prayer,6:9-13,,11:2-4,
The Birth,1:18-25,,2:1-20,
Temptations,4:1-11,,4:1-13,
